"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio","Followers gained","Views gained","FPR","VPR",""
"Fortnite","1","Fortnite","5728826580","397392600","1585293","129860","599321","132611","9198","14.42","9862115","134004938","1.4890234493546182","20.232627079618492","Fortnite"
"Just Chatting","2","Just Chatting","13602876240","174008880","986105","6342","377318","314881","4027","78.17","14089127","312299752","4.858071725994673","107.68407405415172","Just Chatting"
"World of Warcraft","3","World of Warcraft","3879670140","118390440","933430","25791","101786","89807","2740","32.77","830531","80777829","0.4209111816798721","40.93801611008456","World of Warcraft"
"Minecraft","4","Minecraft","4909026780","140124720","591072","6133","291853","113634","3243","35.03","5243018","76599737","2.245007733110903","32.7992392776949","Minecraft"
"Counter-Strike: Global Offensive","5","Counter-Strike: Global Offensive","3740286420","80553720","551755","3961","143154","86580","1864","46.43","2154472","113511473","1.6047467454017021","84.54840297878236","Counter-Strike: Global Offensive"
"Call of Duty: Black Ops Cold War","6","Call of Duty: Black Ops Cold War","3387870780","178236660","544486","23867","224086","78422","4125","19.01","1880539","64696214","0.6330478813954435","21.778756626162092","Call of Duty: Black Ops Cold War"
"Among Us","7","Among Us","4010126820","71543400","488634","4964","223778","92827","1656","56.05","3978919","77544231","3.3369275153263613","65.0326076199901","Among Us"
"Destiny 2","8","Destiny 2","1105994160","85775100","402791","20975","79645","25601","1985","12.89","355734","20842912","0.24883724997114548","14.579694107031061","Destiny 2"
"League of Legends","9","League of Legends","6858683100","201161340","345045","8877","251978","158765","4656","34.1","3881202","148258033","1.157638540288109","44.22063394487231","League of Legends"
"Cyberpunk 2077","10","Cyberpunk 2077","29715240","508020","344288","262","782","687","11","58.49","32561","1427290","3.845635998582733","168.57092240462973","Cyberpunk 2077"
"FIFA 21","11","FIFA 21","2878498020","57884580","335704","3755","103406","66631","1339","49.73","1894716","46812982","1.9639593135166569","48.523785090951684","FIFA 21"
"VALORANT","12","VALORANT","2520434460","118357020","286887","4385","180759","58343","2739","21.3","2412849","74012391","1.2231715533223124","37.51989919989537","VALORANT"
"Assassin's Creed Valhalla","13","Assassin's Creed Valhalla","1465758300","50737860","284130","6749","66960","33929","1174","28.89","379663","32453986","0.4489700590446661","38.3784251050399","Assassin's Creed Valhalla"
"Grand Theft Auto V","14","Grand Theft Auto V","3296964360","85114380","262859","4209","121216","76318","1970","38.74","2180468","58808450","1.5370855077602632","41.45606183115004","Grand Theft Auto V"
"Fall Guys: Ultimate Knockout","15","Fall Guys: Ultimate Knockout","257117100","12508620","247502","589","46870","5951","289","20.56","217952","8194558","1.045448658605026","39.30677244971867","Fall Guys: Ultimate Knockout"
"GlitchCon","16","GlitchCon","138668040","83520","242333","140","456","3209","1","1660.3","295803","11900128","212.50215517241378","8548.942528735632","GlitchCon"
"Demon's Souls","17","Demon's Souls","1511909700","11924040","222803","853","18716","34997","276","126.8","294056","28125010","1.4796461601940283","141.52087715237454","Demon's Souls"
"Call of Duty: Warzone","18","Call of Duty: Warzone","2681042460","182733960","216662","16762","258406","62061","4229","14.67","1772354","39628601","0.5819456875996121","13.011900251053499","Call of Duty: Warzone"
"Dota 2","19","Dota 2","2576038620","37502220","196044","1509","30163","59630","868","68.69","504883","52679288","0.8077649803131655","84.28187131321826","Dota 2"
"Marvel's Spider-Man: Miles Morales","20","Marvel's Spider-Man: Miles Morales","409422600","13353960","190903","1749","29734","9477","309","30.66","192315","7948579","0.8640807670533684","35.71335693681874","Marvel's Spider-Man: Miles Morales"
"Brawlhalla","21","Brawlhalla","339191520","5930220","165626","258","18591","7851","137","57.2","135925","4141548","1.375244088752188","41.90280967653814","Brawlhalla"
